code,product_name_en,brands,countries,energy-kcal_value,energy-kcal_unit,fat_value,fat_unit,saturated-fat_value,saturated-fat_unit,carbohydrates_value,carbohydrates_unit,sugars_value,sugars_unit,fiber_value,fiber_unit,proteins_value,proteins_unit,salt_value,protein_per_100kcal,hover_label,z_kcal,score_kcal_0_100,z_proteinpd,score_proteinpd_0_100,z_sugar,score_sugar_0_100,z_fiber,score_fiber_0_100,z_satfat,score_satfat_0_100,cutting_score_0_100
5060221203784,JAFFA QUAKE,GRENADE,"France, Ireland, United Kingdom",340.0,kcal,11.6666666666667,g,5.5,g,37.6666666666667,g,2.33333333333333,g,4.16666666666667,g,35.0,g,0.0,10.294117647058824,JAFFA QUAKE | GRENADE,-0.20775898397851641,41.77085799021687,1.009180947651066,84.35560689344815,0.7174035489066554,76.34374347694892,-0.5481831184436018,29.17830862354549,-0.005405821629726431,49.784339969528716,58.234744732930814
5390691017995,White Chocolate &amp; Cookie Dough Vitamin &amp; Protei fără gluten,"Bartoni Ltd., Fulfil","Belgium, France, Ireland",199.0,kcal,7.6,g,3.7,g,15.1,g,2.0,g,4.6,g,20.0,g,0.3825,10.050251256281408,White Chocolate &amp; Cookie Dough Vitamin &amp; Protei fără gluten | ,1.140086429857845,87.28748525629221,0.9122530087270105,81.91822274680287,0.7486745836403214,77.29733168139707,-0.49237099337153817,31.122855053258647,0.3979525508420613,65.46674189032682,80.78433405031625
5391532123417,WHITE CHOCOLATE PEANUT & CARAMEL FLAVOUR VITAMIN & PROTEIN BAR,FULFIL,"Ireland, United Kingdom",385.454545454545,kcal,16.9090909090909,g,8.18181818181818,g,35.2727272727273,g,3.81818181818182,g,6.18181818181818,g,36.0,g,0.0,9.339622641509445,WHITE CHOCOLATE PEANUT & CARAMEL FLAVOUR VITAMIN & PROTEIN BAR | FULFI,-0.6422674990772745,26.034975650516728,0.6298042188354529,73.55886574595527,0.5781053032748685,71.84034865941425,-0.2886372221294587,38.64295040522095,-0.6063690533427432,27.213485678690617,46.20849335058154
749826000404,Pure Protein Bar Caramel Churro,Pure Protein,Ireland,190.0,kcal,6.0,g,4.0,g,17.0,g,3.0,g,1.0,g,20.0,g,0.45,10.526315789473685,Pure Protein Bar Caramel Churro | Pure Protein,1.2261191158474,88.99230733738118,1.1014711861481332,86.46541808489386,0.6548614794393224,74.37215283560677,-0.9560409555086851,16.952577165529963,0.3307261554300967,62.95743280614647,82.12725678265603
5060088709252,PROTEIN FLAPJACK SMOOTH LEMON,TREK,"Ireland, United Kingdom",230.0,kcal,11.0,g,4.6,g,24.0,g,13.0,g,1.8,g,9.5,g,0.315,4.130434782608696,PROTEIN FLAPJACK SMOOTH LEMON | TREK,0.8437516225604891,80.05958929693182,-1.4406567455551411,7.484084025367515,-0.28326956257066715,38.84851038347258,-0.8530031861448746,19.68287686625207,0.19627336460616754,57.78018960625061,47.894512980515536
5060221201605,Carb Killa Fudge Brownie,Grenade,"Australia, France, Ireland, United Kingdom",230.0,kcal,8.4,g,4.2,g,21.1998,g,2.0,g,3.0,g,21.0,g,0.39,9.130434782608697,Carb Killa Fudge Brownie | Grenade,0.8437516225604891,80.05958929693182,0.5466597234150397,70.76937351172425,0.7486745836403214,77.29733168139707,-0.698446532099159,24.24489923285839,0.28590855848878693,61.25259207370791,72.72918699463595
5060221203753,Carb Killa - Peanut Butter,Grenade,"Australia, France, Ireland, United Kingdom",363.0,kcal,15.0,g,0.0,,29.0,g,0.0,,25.0,g,33.0,g,0.0,9.090909090909092,Carb Killa - Peanut Butter | Grenade,-0.42762029261849027,33.446379470680434,0.5309497118026268,70.22731861364704,0.9363007920423193,82.54408297571491,2.1350921254056274,98.36232571297397,1.2270780942562918,89.01033798372141,54.827445910949656
749826000183,Galactic Brownie Protein Bar,Pure Protein,Ireland,180.0,kcal,4.5,g,4.0,g,17.0,g,1.0,g,1.0,g,20.0,g,0.4,11.11111111111111,Galactic Brownie Protein Bar | Pure Protein,1.3217109891691279,90.68677960347999,1.333905860881487,90.88826447237165,0.8424876878413203,80.02424857463436,-0.9560409555086851,16.952577165529963,0.3307261554300967,62.95743280614647,84.86161489566432
195893811786,Dark Chocolate Almond Protein Bar,Bod Bar,Ireland,220.0,kcal,8.0,g,2.0,g,28.0,g,11.0,g,8.0,g,15.0,g,0.0,6.8181818181818175,Dark Chocolate Almond Protein Bar | Bod Bar,0.9393434958822168,82.62227932487959,-0.37237595591109207,35.480647660920425,-0.09564335416866923,46.19019156815687,-0.05446047357534388,47.828414967337466,0.7789021248431943,78.19813139124811,61.716426677629045
2002070047006,Protein Bar,Vitalis,Ireland,158.0,kcal,5.0,g,3.0,g,12.0,g,0.0,,5.8,g,15.0,g,0.05,9.493670886075948,Protein Bar | Vitalis,1.532013110476929,93.72404002344653,0.6910327415240446,75.52275172254195,0.9363007920423193,82.54408297571491,-0.33781433932582255,36.77515516403767,0.5548141401366455,71.04891028388364,82.5856047115146
